,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_127,412,1308.654,1263.019,1207.771,1143.331,1070.190,988.904,900.092,804.429,702.645,595.513,483.849,368.502,250.351,130.294,9.246,-111.872,-232.140,-350.640,-466.472
Fz_128,414,793.732,802.641,805.441,802.111,792.676,777.209,755.827,728.692,696.012,658.034,615.049,567.382,515.398,459.491,400.087,337.638,272.619,205.526,136.868
Fz_129,415,920.408,925.518,923.584,914.622,898.699,875.936,846.506,810.634,768.593,720.702,667.327,608.872,545.784,478.542,407.658,333.671,257.145,178.662,98.819
Fz_130,416,1103.884,1124.143,1135.846,1138.905,1133.296,1119.063,1096.312,1065.218,1026.017,979.007,924.547,863.050,794.984,720.869,641.267,556.785,468.065,375.783,280.641
Fz_131,417,1161.751,1119.617,1068.963,1010.174,943.696,870.036,789.755,703.463,611.818,515.516,415.291,311.905,206.146,98.817,-9.264,-117.274,-224.391,-329.801,-432.701
Fz_132,418,1149.383,1124.993,1092.042,1050.780,1001.521,944.639,880.568,809.796,732.861,650.348,562.885,471.139,375.807,277.614,177.309,75.655,-26.575,-128.603,-229.652
Fz_133,419,524.701,522.084,515.493,504.980,490.623,472.532,450.844,425.726,397.368,365.985,331.817,295.124,256.184,215.295,172.768,128.925,84.101,38.638,-7.120
Fz_134,420,929.333,957.398,978.177,991.512,997.300,995.499,986.121,969.238,944.979,913.528,875.124,830.060,778.679,721.372,658.574,590.765,518.459,442.208,362.591
Fz_135,421,973.080,978.066,975.608,965.726,948.493,924.042,892.559,854.282,809.504,758.565,701.853,639.800,572.877,501.594,426.494,348.148,267.152,184.124,99.694
Fz_136,422,1081.648,1076.314,1062.789,1041.175,1011.637,974.400,929.748,878.019,819.608,754.960,684.566,608.961,528.723,444.460,356.815,266.454,174.065,80.352,-13.973
Fz_137,423,1211.550,1193.668,1166.702,1130.857,1086.405,1033.685,973.098,905.105,830.224,749.024,662.124,570.185,473.906,374.020,271.288,166.491,60.427,-46.096,-152.269
Fz_138,424,1293.615,1268.381,1233.493,1189.218,1135.892,1073.921,1003.777,925.994,841.163,749.931,652.991,551.081,444.978,335.488,223.444,109.700,-4.878,-119.420,-233.053
Fz_139,425,981.427,945.193,901.765,851.475,794.704,731.886,663.497,590.058,512.129,430.302,345.201,257.472,167.783,76.818,-14.732,-106.170,-196.799,-285.931,-372.887
Fz_140,427,996.589,1041.394,1078.274,1106.947,1127.196,1138.865,1141.868,1136.180,1121.845,1098.972,1067.736,1028.373,981.184,926.527,864.819,796.529,722.177,642.329,557.592
Fz_141,428,1274.899,1283.046,1281.428,1270.058,1249.022,1218.480,1178.665,1129.879,1072.494,1006.947,933.737,853.420,766.608,673.962,576.186,474.026,368.258,259.687,149.140
Fz_142,429,1224.653,1206.091,1178.350,1141.641,1096.243,1042.503,980.828,911.688,835.610,753.173,665.003,571.772,474.190,372.999,268.969,162.892,55.576,-52.164,-159.506
Fz_143,430,1114.117,1088.647,1054.892,1013.108,963.615,906.787,843.058,772.914,696.886,615.555,529.540,439.494,346.103,250.079,152.151,53.065,-46.425,-145.561,-243.590
Fz_144,431,1048.290,1022.871,989.667,948.931,900.974,846.159,784.905,717.677,644.987,567.388,485.471,399.860,311.205,220.182,127.483,33.814,-60.113,-153.582,-245.882
Fz_145,432,1238.011,1254.846,1262.131,1259.810,1247.901,1226.495,1195.755,1155.914,1107.276,1050.211,985.154,912.598,833.097,747.256,655.728,559.209,458.435,354.171,247.212
Fz_146,433,1289.540,1297.667,1295.918,1284.307,1262.921,1231.924,1191.551,1142.109,1083.976,1017.592,943.464,862.156,774.287,680.524,581.583,478.215,371.207,261.375,149.553
Fz_147,434,1040.892,1064.059,1079.128,1085.984,1084.575,1074.912,1057.068,1031.179,997.442,956.115,907.510,851.999,790.003,721.996,648.493,570.055,487.278,400.793,311.258
Fz_148,435,1431.684,1383.863,1325.510,1257.070,1179.062,1092.080,996.788,893.909,784.227,668.576,547.838,422.929,294.803,164.432,32.810,-99.061,-230.179,-359.545,-486.175
Fz_149,436,931.101,861.598,785.538,703.500,616.107,524.025,427.956,328.629,226.801,123.247,18.756,-85.879,-189.860,-292.396,-392.707,-490.029,-583.621,-672.772,-756.803
Fz_150,437,1214.532,1200.739,1177.808,1145.913,1105.297,1056.269,999.202,934.531,862.747,784.398,700.078,610.431,516.137,417.916,316.514,212.703,107.274,1.028,-105.226
